dateRep,year,month,day,cases,deaths,countriesAndTerritories,geoId,popData2020,countryterritoryCode,continentExp
21/10/2022,2022,10,21,25422,75,Spain,ES,47332614,ESP,Europe
14/10/2022,2022,10,14,20652,68,Spain,ES,47332614,ESP,Europe
07/10/2022,2022,10,07,10843,68,Spain,ES,47332614,ESP,Europe
04/10/2022,2022,10,04,8114,83,Spain,ES,47332614,ESP,Europe
30/09/2022,2022,09,30,10721,95,Spain,ES,47332614,ESP,Europe
27/09/2022,2022,09,27,8761,75,Spain,ES,47332614,ESP,Europe
23/09/2022,2022,09,23,10306,72,Spain,ES,47332614,ESP,Europe
20/09/2022,2022,09,20,8320,55,Spain,ES,47332614,ESP,Europe
16/09/2022,2022,09,16,10760,65,Spain,ES,47332614,ESP,Europe
13/09/2022,2022,09,13,6469,65,Spain,ES,47332614,ESP,Europe
09/09/2022,2022,09,09,8416,101,Spain,ES,47332614,ESP,Europe
06/09/2022,2022,09,06,6703,107,Spain,ES,47332614,ESP,Europe
02/09/2022,2022,09,02,9489,117,Spain,ES,47332614,ESP,Europe
30/08/2022,2022,08,30,9554,97,Spain,ES,47332614,ESP,Europe
26/08/2022,2022,08,26,9192,141,Spain,ES,47332614,ESP,Europe
23/08/2022,2022,08,23,9020,119,Spain,ES,47332614,ESP,Europe
19/08/2022,2022,08,19,8463,195,Spain,ES,47332614,ESP,Europe
16/08/2022,2022,08,16,12162,181,Spain,ES,47332614,ESP,Europe
12/08/2022,2022,08,12,13582,236,Spain,ES,47332614,ESP,Europe
09/08/2022,2022,08,09,14373,222,Spain,ES,47332614,ESP,Europe
05/08/2022,2022,08,05,20188,310,Spain,ES,47332614,ESP,Europe
02/08/2022,2022,08,02,19417,273,Spain,ES,47332614,ESP,Europe
29/07/2022,2022,07,29,26018,353,Spain,ES,47332614,ESP,Europe
26/07/2022,2022,07,26,39089,358,Spain,ES,47332614,ESP,Europe
22/07/2022,2022,07,22,72704,518,Spain,ES,47332614,ESP,Europe
19/07/2022,2022,07,19,41683,382,Spain,ES,47332614,ESP,Europe
15/07/2022,2022,07,15,57635,428,Spain,ES,47332614,ESP,Europe
12/07/2022,2022,07,12,59226,292,Spain,ES,47332614,ESP,Europe
08/07/2022,2022,07,08,83613,321,Spain,ES,47332614,ESP,Europe
05/07/2022,2022,07,05,71818,188,Spain,ES,47332614,ESP,Europe
01/07/2022,2022,07,01,84146,207,Spain,ES,47332614,ESP,Europe
28/06/2022,2022,06,28,52218,152,Spain,ES,47332614,ESP,Europe
24/06/2022,2022,06,24,68186,194,Spain,ES,47332614,ESP,Europe
21/06/2022,2022,06,21,50235,160,Spain,ES,47332614,ESP,Europe
17/06/2022,2022,06,17,48272,193,Spain,ES,47332614,ESP,Europe
14/06/2022,2022,06,14,36133,157,Spain,ES,47332614,ESP,Europe
13/06/2022,2022,06,13,,0,Spain,ES,47332614,ESP,Europe
12/06/2022,2022,06,12,,3,Spain,ES,47332614,ESP,Europe
11/06/2022,2022,06,11,,5,Spain,ES,47332614,ESP,Europe
10/06/2022,2022,06,10,42456,19,Spain,ES,47332614,ESP,Europe
09/06/2022,2022,06,09,,25,Spain,ES,47332614,ESP,Europe
08/06/2022,2022,06,08,,36,Spain,ES,47332614,ESP,Europe
07/06/2022,2022,06,07,33293,37,Spain,ES,47332614,ESP,Europe
06/06/2022,2022,06,06,,32,Spain,ES,47332614,ESP,Europe
05/06/2022,2022,06,05,,36,Spain,ES,47332614,ESP,Europe
04/06/2022,2022,06,04,,34,Spain,ES,47332614,ESP,Europe
03/06/2022,2022,06,03,42989,38,Spain,ES,47332614,ESP,Europe
02/06/2022,2022,06,02,,36,Spain,ES,47332614,ESP,Europe
01/06/2022,2022,06,01,,59,Spain,ES,47332614,ESP,Europe
31/05/2022,2022,05,31,33992,41,Spain,ES,47332614,ESP,Europe
30/05/2022,2022,05,30,,47,Spain,ES,47332614,ESP,Europe
29/05/2022,2022,05,29,,36,Spain,ES,47332614,ESP,Europe
28/05/2022,2022,05,28,,38,Spain,ES,47332614,ESP,Europe
27/05/2022,2022,05,27,45919,42,Spain,ES,47332614,ESP,Europe
26/05/2022,2022,05,26,,44,Spain,ES,47332614,ESP,Europe
25/05/2022,2022,05,25,,48,Spain,ES,47332614,ESP,Europe
24/05/2022,2022,05,24,42272,62,Spain,ES,47332614,ESP,Europe
23/05/2022,2022,05,23,,58,Spain,ES,47332614,ESP,Europe
22/05/2022,2022,05,22,,59,Spain,ES,47332614,ESP,Europe
21/05/2022,2022,05,21,,50,Spain,ES,47332614,ESP,Europe
20/05/2022,2022,05,20,58839,67,Spain,ES,47332614,ESP,Europe
19/05/2022,2022,05,19,,65,Spain,ES,47332614,ESP,Europe
18/05/2022,2022,05,18,,60,Spain,ES,47332614,ESP,Europe
17/05/2022,2022,05,17,52112,63,Spain,ES,47332614,ESP,Europe
16/05/2022,2022,05,16,,67,Spain,ES,47332614,ESP,Europe
15/05/2022,2022,05,15,,58,Spain,ES,47332614,ESP,Europe
14/05/2022,2022,05,14,,61,Spain,ES,47332614,ESP,Europe
13/05/2022,2022,05,13,68234,66,Spain,ES,47332614,ESP,Europe
12/05/2022,2022,05,12,,89,Spain,ES,47332614,ESP,Europe
11/05/2022,2022,05,11,,65,Spain,ES,47332614,ESP,Europe
10/05/2022,2022,05,10,49829,77,Spain,ES,47332614,ESP,Europe
09/05/2022,2022,05,09,,74,Spain,ES,47332614,ESP,Europe
08/05/2022,2022,05,08,,63,Spain,ES,47332614,ESP,Europe
07/05/2022,2022,05,07,,57,Spain,ES,47332614,ESP,Europe
06/05/2022,2022,05,06,55578,71,Spain,ES,47332614,ESP,Europe
05/05/2022,2022,05,05,,56,Spain,ES,47332614,ESP,Europe
04/05/2022,2022,05,04,,66,Spain,ES,47332614,ESP,Europe
03/05/2022,2022,05,03,57329,62,Spain,ES,47332614,ESP,Europe
02/05/2022,2022,05,02,,48,Spain,ES,47332614,ESP,Europe
01/05/2022,2022,05,01,,59,Spain,ES,47332614,ESP,Europe
30/04/2022,2022,04,30,,51,Spain,ES,47332614,ESP,Europe
29/04/2022,2022,04,29,62695,50,Spain,ES,47332614,ESP,Europe
28/04/2022,2022,04,28,,57,Spain,ES,47332614,ESP,Europe
27/04/2022,2022,04,27,,52,Spain,ES,47332614,ESP,Europe
26/04/2022,2022,04,26,47421,54,Spain,ES,47332614,ESP,Europe
25/04/2022,2022,04,25,,50,Spain,ES,47332614,ESP,Europe
24/04/2022,2022,04,24,,52,Spain,ES,47332614,ESP,Europe
23/04/2022,2022,04,23,,56,Spain,ES,47332614,ESP,Europe
22/04/2022,2022,04,22,49143,63,Spain,ES,47332614,ESP,Europe
21/04/2022,2022,04,21,,53,Spain,ES,47332614,ESP,Europe
20/04/2022,2022,04,20,,44,Spain,ES,47332614,ESP,Europe
19/04/2022,2022,04,19,74679,52,Spain,ES,47332614,ESP,Europe
18/04/2022,2022,04,18,,44,Spain,ES,47332614,ESP,Europe
17/04/2022,2022,04,17,,50,Spain,ES,47332614,ESP,Europe
16/04/2022,2022,04,16,,65,Spain,ES,47332614,ESP,Europe
15/04/2022,2022,04,15,,46,Spain,ES,47332614,ESP,Europe
14/04/2022,2022,04,14,,41,Spain,ES,47332614,ESP,Europe
13/04/2022,2022,04,13,,44,Spain,ES,47332614,ESP,Europe
12/04/2022,2022,04,12,34727,61,Spain,ES,47332614,ESP,Europe
11/04/2022,2022,04,11,,38,Spain,ES,47332614,ESP,Europe
10/04/2022,2022,04,10,,47,Spain,ES,47332614,ESP,Europe
09/04/2022,2022,04,09,,42,Spain,ES,47332614,ESP,Europe
08/04/2022,2022,04,08,48834,35,Spain,ES,47332614,ESP,Europe
07/04/2022,2022,04,07,,53,Spain,ES,47332614,ESP,Europe
06/04/2022,2022,04,06,,42,Spain,ES,47332614,ESP,Europe
05/04/2022,2022,04,05,1353,49,Spain,ES,47332614,ESP,Europe
04/04/2022,2022,04,04,3162,37,Spain,ES,47332614,ESP,Europe
03/04/2022,2022,04,03,2784,36,Spain,ES,47332614,ESP,Europe
02/04/2022,2022,04,02,6634,37,Spain,ES,47332614,ESP,Europe
01/04/2022,2022,04,01,5780,39,Spain,ES,47332614,ESP,Europe
31/03/2022,2022,03,31,6186,38,Spain,ES,47332614,ESP,Europe
30/03/2022,2022,03,30,9454,50,Spain,ES,47332614,ESP,Europe
29/03/2022,2022,03,29,10246,47,Spain,ES,47332614,ESP,Europe
28/03/2022,2022,03,28,11844,32,Spain,ES,47332614,ESP,Europe
27/03/2022,2022,03,27,8742,39,Spain,ES,47332614,ESP,Europe
26/03/2022,2022,03,26,11003,39,Spain,ES,47332614,ESP,Europe
25/03/2022,2022,03,25,10093,46,Spain,ES,47332614,ESP,Europe
24/03/2022,2022,03,24,11718,48,Spain,ES,47332614,ESP,Europe
23/03/2022,2022,03,23,18081,49,Spain,ES,47332614,ESP,Europe
22/03/2022,2022,03,22,19817,42,Spain,ES,47332614,ESP,Europe
21/03/2022,2022,03,21,22445,47,Spain,ES,47332614,ESP,Europe
20/03/2022,2022,03,20,18129,41,Spain,ES,47332614,ESP,Europe
19/03/2022,2022,03,19,18516,62,Spain,ES,47332614,ESP,Europe
